School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Mehlville,2.43,2.79,5.22,1,1,1
Ft. Zumwalt South,2.29,2.66,4.95,2,3,2
Notre Dame (Cape Girardeau),2.17,2.58,4.75,3,4,3
Pembroke Hill,2.04,2.66,4.7,4,2,4
Ladue Horton Watkins,1.78,2.52,4.3,7,5,5
Glendale,1.95,2.14,4.09,5,10,6
Rockwood Summit,1.85,2.17,4.03,6,8,7
Guadalupe Centers Charter,1.67,1.68,3.35,8,16,8
Springfield Catholic,1.18,2.16,3.33,15,9,9
MICDS,1.01,2.32,3.32,19,6,10
Platte County,1.02,2.25,3.27,18,7,11
Van Horn,1.55,1.72,3.27,9,15,12
Ft. Zumwalt East,1.49,1.53,3.03,11,19,13
William Chrisman,0.81,2.04,2.86,21,11,14
Branson,1.37,1.48,2.85,12,20,15
Clayton,0.78,1.9,2.68,22,13,16
Central (Cape Girardeau),1.11,1.37,2.48,17,21,17
Neosho,1.21,1.26,2.47,14,22,18
Webster Groves,0.43,1.96,2.39,28,12,19
Parkway Central,0.76,1.61,2.37,23,18,20
Grain Valley,1.35,0.87,2.22,13,24,21
Smithville,0.56,1.63,2.2,24,17,22
Parkway West,0.13,1.84,1.97,32,14,23
East (Kansas City),0.91,1.05,1.96,20,23,24
St. Michael the Archangel,1.12,0.37,1.48,16,31,25
Principia,1.5,-0.18,1.32,10,39,26
Lincoln College Prep,0.45,0.84,1.3,27,25,27
Capital City,0.56,0.54,1.1,25,28,28
Bolivar,0.5,0.08,0.59,26,33,29
Hannibal,-0.03,0.57,0.54,33,27,30
St. Paul Lutheran (Concordia),0.24,0.13,0.37,29,32,31
Kearney,0.21,0.04,0.25,30,35,32
Farmington,0.18,-0.1,0.08,31,37,33
Washington,-0.6,0.42,-0.18,36,30,34
Jefferson City,-0.9,0.67,-0.24,45,26,35
North Point,-0.78,0.48,-0.3,42,29,36
Parkway North,-0.1,-0.22,-0.32,34,40,37
Rolla,-0.63,-0.0,-0.63,39,36,38
Grandview,-0.64,-0.16,-0.81,40,38,39
Hillsboro,-0.99,0.04,-0.95,47,34,40
Parkview,-0.25,-0.7,-0.95,35,46,41
Union,-0.62,-0.35,-0.96,37,42,42
Sikeston,-0.63,-0.44,-1.07,38,43,43
Lutheran South,-0.79,-0.31,-1.11,43,41,44
Raytown South,-0.84,-0.54,-1.38,44,45,45
West Plains,-0.67,-0.79,-1.46,41,47,46
Webb City,-1.26,-0.82,-2.07,50,48,47
Pacific,-1.28,-0.83,-2.11,51,49,48
Camdenton,-1.17,-1.01,-2.18,49,50,49
Marshfield,-2.09,-0.5,-2.59,57,44,50
Warrensburg,-0.97,-1.99,-2.96,46,52,51
Willard,-1.01,-2.47,-3.48,48,54,52
Festus,-1.44,-2.49,-3.92,52,56,53
Lebanon,-1.84,-2.24,-4.09,55,53,54
Winnetonka,-1.63,-2.48,-4.11,54,55,55
Carl Junction,-2.28,-1.98,-4.26,58,51,56
Warrenton,-1.91,-2.59,-4.5,56,57,57
Ruskin,-1.52,-3.48,-5.0,53,60,58
McDonald County,-2.97,-2.65,-5.63,59,58,59
Hillcrest,-3.49,-3.3,-6.79,60,59,60
McCluer North,-4.62,-4.84,-9.46,62,62,61
Hazelwood East,-5.39,-4.69,-10.07,63,61,62
McCluer,-4.42,-5.9,-10.32,61,63,63
